"side_effect","predicted_drug","similarity_score"
"DRUG ADMINISTRATION ERROR OVERDOSE","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99750688720064"
"Vomiting Diarrhoea Arthralgia Headache","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99842992134623"
"Dyspepsia Renal impairment","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99497776942965"
"Oedema peripheral 1 Fluid retention 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99879849692507"
"Pneumonia 6 Drug ineffective 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99848505560613"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Angioedema 1 Laryngeal oedema 1 Face oedema 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99892113704705"
"Tuberculosis of central nervous system 5","ADVAIR BLOOD PRESSURE MEDICATION","0.99838582308282"
"Cholecystectomy 1 Nephrolithiasis 1 Biliary tract disorder 1 Malaise 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9967108601212"
"Adenoviral haemorrhagic cystitis 3 Pyrexia 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99557408738892"
"Swelling 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99578593904544"
"Meconium stain 6 Amniotic cavity infection 6 Maternal exposure during pregnancy 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99616125876496"
"Respiratory failure 1 Listeriosis 1 Pyrexia 1 Headache 1 Vomiting 1 Mental status changes 1 Meningitis 1 Pneumonia staphylococcal 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99557066277036"
"Type IV hypersensitivity reaction 6 Skin toxicity 1 Palmar-plantar erythrodysaesthesia syndrome 1 Nail toxicity 2 Arthralgia 6 Myalgia 2 Asthenia 2 Diarrhoea 1 Neuropathy peripheral 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99865477365143"
"Diarrhoea 1 Abdominal pain 1 Asthenia 1 Diarrhoea 1 Weight decreased 3 Abdominal pain 1 Blood creatinine increased 1 C-reactive protein increased 1 Dysuria 1 Pyrexia 1 Blood creatinine increased 1 C-reactive protein increased 1 Pleural effusion 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99879828726362"
"Chemical poisoning 3 Neck pain 3 Back pain 3 Paraesthesia 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99931986619057"
"Localised oedema 6 Oedema peripheral 6 Fluid retention 6 Nasal congestion 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99887287549161"
"Metastases to spine 6 Anxiety 6 Renal cyst 6 Metastases to thorax 6 Metastases to retroperitoneum 6 Emotional disorder 6 Pancreatic carcinoma metastatic 5 Metastases to liver 6 Metastases to lung 6 Emotional distress 6 Lymphadenopathy 6 Prostate cancer 6 Peripheral venous disease 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99404938991812"
"Swollen tongue 1 Pruritus 1 Rash generalised 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99448219703821"
